,NAME,population,state,place,GEOID,USPS,ANSICODE,place_name,LSAD,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
0,"New York city, New York",8804190,36,51000,3651000,NY,2395220.0,New York,25,A,778178241.0,445408678.0,300.456,171.973,40.662712,-73.938677
1,"Los Angeles city, California",3898747,6,44000,644000,CA,2410877.0,Los Angeles,25,A,1215977362.0,83031312.0,469.492,32.059,34.019394,-118.410825
2,"Chicago city, Illinois",2746388,17,14000,1714000,IL,428803.0,Chicago,25,A,589818403.0,17621589.0,227.73,6.804,41.837045,-87.684939
3,"Houston city, Texas",2304580,48,35000,4835000,TX,2410796.0,Houston,25,A,1658719231.0,80896867.0,640.435,31.234,29.785743,-95.388806
4,"Phoenix city, Arizona",1608139,4,55000,455000,AZ,2411414.0,Phoenix,25,A,1342303901.0,2633970.0,518.266,1.017,33.572154,-112.090132
5,"Philadelphia city, Pennsylvania",1603797,42,60000,4260000,PA,1215531.0,Philadelphia,25,A,347981635.0,21606282.0,134.356,8.342,40.009376,-75.133346
6,"San Antonio city, Texas",1434625,48,65000,4865000,TX,2411774.0,San Antonio,25,A,1290964117.0,14988134.0,498.444,5.787,29.463408,-98.524287
7,"San Diego city, California",1386932,6,66000,666000,CA,2411782.0,San Diego,25,A,844031898.0,120532678.0,325.883,46.538,32.814977,-117.135562
8,"Dallas city, Texas",1304379,48,19000,4819000,TX,2410288.0,Dallas,25,A,879570173.0,113594304.0,339.604,43.859,32.793333,-96.766513
9,"San Jose city, California",1013240,6,68000,668000,CA,2411790.0,San Jose,25,A,461821936.0,8089813.0,178.31,3.123,37.296011,-121.814552
10,"Austin city, Texas",961855,48,5000,4805000,TX,2409761.0,Austin,25,A,828631437.0,17024586.0,319.936,6.573,30.301157,-97.752695
11,"Jacksonville city, Florida",949611,12,35000,1235000,FL,2404783.0,Jacksonville,25,A,1935492088.0,329347337.0,747.298,127.162,30.336864,-81.661603
12,"Fort Worth city, Texas",918915,48,27000,4827000,TX,2410531.0,Fort Worth,25,A,902772231.0,21466244.0,348.562,8.288,32.781518,-97.346746
13,"Columbus city, Ohio",905748,39,18000,3918000,OH,1086101.0,Columbus,25,A,570091822.0,15177233.0,220.114,5.86,39.985531,-82.985594
14,"Indianapolis city (balance), Indiana",887642,18,36003,1836003,IN,2395424.0,Indianapolis,00,F,936640759.0,16304624.0,361.639,6.295,39.776664,-86.145935
15,"Charlotte city, North Carolina",874579,37,12000,3712000,NC,2404032.0,Charlotte,25,A,800727152.0,5121615.0,309.162,1.977,35.209045,-80.83099
